ID,ID in PCS,Whova/Gather,Title(49),Group,Demo,memo,problems?,content type,main content,aux content
1,1055,2 UI,"Comparing the Effects of Reference-based, Orientation-based, and Turn-by-turn Navigation Guidance on Users Independent Navigation",1 UI,,,,poster,https://drive.google.com/file/d/1zcJnraay1FuvTSgH6k1QFnCmOPBE00nY/preview,
2,1070,3 UI,AirTyping: A Mid-Air Typing Scheme based on Leap Motion,1 UI,,,jpg,poster,https://drive.google.com/file/d/1F-B0CzDA4cmvLl_LCyzSyBpcfTyDhXED/preview,
3,1072,4 UI,Designing The Catbus: Interactive Support for Early Childhood Emotional Well-being in Education,1 UI,,,missing thumbnail,site,https://slides.com/vishkaie/deck/fullscreen,
4,1084,5 UI,Computational Support for Facilitating Parental Reflective Functioning in Everyday Parent-child Interaction,1 UI,,,jpg,poster,https://drive.google.com/file/d/1eGl2q2r9TptFbHOrVxNmrSv4PzhOc60p/preview,
5,1086,6 UI,Why doesn&#39;t the conversational agent understand me? A language analysis of children speech,1 UI,,,vertical poster,site,https://slides.com/ivonnemonarcapintle/deck/embed,
6,1106,7 UI,Handwriting Behavior as a Self-Confidence Discriminator,1 UI,,,,poster,https://drive.google.com/file/d/1aWJFMP1IWnjVJOfZ6-qtwnk41H4Kiyl_/preview,https://drive.google.com/file/d/1aWJFMP1IWnjVJOfZ6-qtwnk41H4Kiyl_/preview
7,1118,1 UI,A Low-Cost Prototyping Framework for Human-Robot Desk Interaction,1 UI,Demo,,,video,https://www.youtube.com/embed/YPyw27j0Dno,
8,1121,8 UI,The Future of Radio - Combining Music Streaming With Traditional Terrestrial Radio Services,1 UI,,,double,poster/site,https://drive.google.com/file/d/1g6nCwr9KrETGYI0LBFB2foBrDdhzFJAb/preview,https://sterio-slides.netlify.app/
9,1126,9 UI,IMception: Camouflaging sensitive-apps chat-screens with Deceptive UIs,1 UI,,,,poster/site,https://drive.google.com/file/d/1G9ngjl_w_mnaQHc-HGeyO8MhzpDokplC/preview,https://slides.com/yjc/deck-5824e0/fullscreen
10,1002,10 UI,PizzaBox: Studying Physical Object Manipulation based Fast Food Ordering,1 UI,,,,poster,https://drive.google.com/file/d/1am1WktGNxNA-PcA6XZbZ8pZe_KVORslz/preview,
11,1073,1 Mobile UI,HmwkCheck: A Homework Auto-Checking System based on Arithmetic Operation Recognition using Smartphones,2 mobile UI,,,,poster,https://drive.google.com/file/d/1Vo8pj8tEBnGrCzFrVMxL4G9J7WZNZuB3/preview,
12,1082,2 Mobile UI,Anomaly Detection for Mobile Devices in Industrial Internet,2 mobile UI,,,,poster,https://drive.google.com/file/d/1NvQmfkbhSOm4fmHewiSSUc5_OGcTuP3A/preview,
13,1085,3 Mobile UI,A Preliminary Attempt of an Intelligent System Predicting Users&#39; Correctness of Notifications&#39; Sender Speculation,2 mobile UI,,,,poster,https://drive.google.com/file/d/1NvQmfkbhSOm4fmHewiSSUc5_OGcTuP3A/preview,
14,1097,4 Mobile UI,Exploring Chatbot User Interfaces for Mood Measurement: A Study of Validity and User Experience,2 mobile UI,,,missing thumbnail,video,https://www.youtube.com/embed/K7zruiuG0uE,
15,1102,5 Mobile UI,A Preliminary Investigation of the Mismatch between Attendance Order and Desired Display Order of Smartphone Notifications,2 mobile UI,,,,poster,https://drive.google.com/file/d/11SMbhJh8u5HlOvyMyLA0fXSZfY_0ub5Z/preview,
16,1103,6 Mobile UI,Mobile Vocabulometer: A Context-based Learning Mobile Application to Enhance English Vocabulary Acquisition,2 mobile UI,,,,poster,https://drive.google.com/file/d/1hESpsGCJ_t1HYsAy0IgPef9GDU7MUBXh/preview,https://expo.io/@voca_participant/vocameter-ubicomp
17,1107,7 Mobile UI,Using Gamification to Create and Label Photos That Are Challenging for Computer Vision and People,2 mobile UI,,,missing thumbnail,poster,https://drive.google.com/file/d/1Vpi2pIgn6iWIanHF83z6R5yz1mZr8apN/preview,
18,1109,8 Mobile UI,Effects of Activity Breakpoints on Mobile Crowdsourcing Task Performance,2 mobile UI,,,,poster,https://drive.google.com/file/d/1l4FXF93w3f3r56qBaqEQD5J6MQBlH1bp/preview,
19,1113,9 Mobile UI,Gamified Navigation System: Enhancing Resident User Experience in City Exploration,2 mobile UI,,,,poster,https://drive.google.com/file/d/1w5Vd3hpQBu1GARDC2jPEbQhy77pWHDMO/preview,
20,1117,10 Mobile UI,Personal Laughter Archives: Reflection Through Visualization and Interaction,2 mobile UI,,,missing,missing,,
21,1120,3 Wearable,HeadgearX: a Connected Smart Helmet for Construction Sites,3 wearable,Demo,,Thumnail only,missing,,
22,1052,1 Wearable,The Light: Exploring Socially Improvised Movements Using Wearable Sensors in a Performative Installation,3 wearable,,,,poster/external site,https://drive.google.com/file/d/1vHK25_TTEsUU_nqnUFF28jDjW8LayIXC/preview,https://friendred.studio/2019/10/05/the-light-exploring-socially-improvised-movements/
23,1066,2 Wearable,Respiratory Events Screening Using Consumer Smartwatches,3 wearable,,,,poster,https://drive.google.com/file/d/1n9ddRi0MA9P9fhOUIBtxJilLz9WatTZu/preview,
24,1067,4 Wearable,"Evaluation of Body-Worn FPCBs with Bluetooth Low Energy, Capacitive Touch, and Resistive Flex Sensing",3 wearable,,,,poster,https://drive.google.com/file/d/1Tpn4HUFjHxvlIfZlgzTiPJfPMG_Rt_o1/preview,
25,1090,5 Wearable,Machine learning pathology detection with a body surface potential mapping,3 wearable,,,,poster,https://drive.google.com/file/d/1l-DkKk-z0CTywD8YmZtOeFSuF6ZP7kkc/preview,
26,1091,6 Wearable,Detecting and Differentiating Leg Bouncing Behaviour from Everyday Movements Using Tri-Axial Accelerometer Data,3 wearable,,,missing thumbnail,video,https://www.youtube.com/embed/ksssz0WguRw,
27,1096,7 Wearable,Wearable Epilepsy Seizure Monitor User Interface Evaluation,3 wearable,,,,poster,https://drive.google.com/file/d/1fXKyfgQ-7KeTArcWzTwlDseIdBYX12c0/preview,
28,1101,8 Wearable,Doze: Hydrogel-Based Epidermal Platform for Personalized Scent Diffusion,3 wearable,,,,poster,https://drive.google.com/file/d/1cye0jY6zqR4GsB1c-E9ddNFumv7O-tcE/preview,
29,1119,9 Wearable,SMAller Aid: Exploring Shape-Changing Assistive Wearables for People with Mobility Impairment,3 wearable,,,,poster/website,https://drive.google.com/file/d/1-Qk6UvvedbstVPBbe14uGaYHhkq0cBc7/preview,https://cil.csit.carleton.ca/smaller-aid/
30,1127,10 Wearable,Sleepy Watch -- Towards Predicting Daytime Sleepiness based on Body Temperature,3 wearable,,,missing thumbnail,poster,https://drive.google.com/file/d/1JHcHcx804Ye2iz6nAMF9_oVllEzRETeP/preview,
31,1009,2 Systems,Leveraging Family Force to Assist Adolescent Patients in The Treatment of Technology Abuse,4 system,,5page?,missing thumbnail,poster,https://drive.google.com/file/d/1UiZPm_jX4I6ip-H0HAaqC7UitjWOfdQV/preview,
32,1045,3 Systems,Generic POI Recommendation,4 system,,,,poster,https://drive.google.com/file/d/1LAH_iMKNtMlcXEupiHYm7kNFeX0wrDRM/preview,
33,1074,4 Systems,Understanding Routines Around Medicine Intake through a Data-Enabled Design approach,4 system,,,missing thumbnail,poster/external site,https://drive.google.com/file/d/1cTL9qbdkBAvMAxkpCgxABMJ8e1DI1U_Y/preview,https://medapp-research.webflow.io/
34,1081,5 Systems,DOOM: A Novel Adversarial-DRL-based Op-Code Level Metamorphic Malware Obfuscator for the enhancement of IDS,4 system,,,,missing,https://drive.google.com/file/d/1c6pDFSGs2tBlhMjzy_SvFQVhMEYKpPUP/preview,
35,1087,6 Systems,Understanding Barriers to Medical Instruction Access for Older Adults: Implications for AI-Assisted Tools,4 system,,,missing thumbnail,poster,https://drive.google.com/file/d/1h4GuyjWrlIj1-tZX_e-CZedNrvvaPeyF/preview,
36,1098,1 Systems,DeviceAR: Techniques for Device-Oriented Augmented Reality Interactions,4 system,Demo,,,video,https://www.youtube.com/embed/MxeoMBcAohM,
37,1099,7 Systems,Adaptive Biosignal Data Gathering for Distributed and Continual Remote Monitoring,4 system,,,,poster,https://drive.google.com/file/d/15oO831ATL91hcMMI0fyXUx80cZ2tPmZq/preview,
38,1110,8 Systems,Pose Evaluation for Dance Learning Application using Joint Position and Angular Similarity,4 system,,poster is 15mb!,,poster/video,https://drive.google.com/file/d/1eDuxagaAycHElS2BOH8J_8hjepTxtwrF/preview,https://www.youtube.com/embed/Z6TGjW5gouU
39,1116,9 Systems,Implementing Text-to-Speech tools for Community Radio in Remote Regions of Romania,4 system,,,,video,https://www.youtube.com/embed/HDbfLwZVft0,
40,1051,10 Systems,Lifelog Visualization Based on Social and Physical Activities,4 system,,,,poster,https://drive.google.com/file/d/1AM8qIL6P4XBS97B0vv6vgaG3B9Gizz7c/preview,
41,1056,2 Sensing,Estimation of Wakefulness in Video-based Lectures based on Multimodal Data Fusion,5 sensing,,,,poster,https://drive.google.com/file/d/1UeKtITIJrTE-NdNT7kxY9haXB7caVfNL/preview,
42,1057,3 Sensing,VibroScale: Turning Your Smartphone into a Weighing Scale,5 sensing,,,,video/site,https://www.youtube.com/embed/a28UbUlVRg4,https://habitslab.github.io/vibroscale/
43,1068,4 Sensing,OfficeBP:Noninvasive Continuous Blood Pressure Monitoring Based on PPT in Office Environment,5 sensing,,,,poster/video,https://drive.google.com/file/d/1c-qtacHSR9oOkldypu6864Vbk5b1S38q/preview,https://www.youtube.com/embed/YE6peGscIUc
44,1077,5 Sensing,Do We Breathe the Same Air?,5 sensing,,,,site,https://ourair.carrd.co/,
45,1095,6 Sensing,Dedicated Algorithm based on Discrete Cosine Transform for the Analysis of Industrial Processes Using Ultrasound Tomography,5 sensing,,,,poster,https://drive.google.com/file/d/1Cf40NPbvPWtvJZS6ZVu-laoEbcc4YnGe/preview,
46,1104,1 Sensing,Demo: A Multi-person Respiration Monitoring System Using COTS WiFi Devices,5 sensing,Demo,,,video/poster,https://www.youtube.com/embed/Xz5RK7p1VhM,https://drive.google.com/file/d/1IdRJVv_VejjGlrkw1Os2S9uFczlO_QgR/preview
47,1105,7 Sensing,Naqaab: Towards health sensing and persuasion via masks,5 sensing,,,google sites,site,https://sites.google.com/view/naqaab/home,
48,1111,8 Sensing,A Privacy-Protecting Indoor Emergency Monitoring System based on Floor Vibration,5 sensing,,,vertical poster,pdf/site,https://drive.google.com/file/d/1fMR1M_4vwtXKw5hzkxML2_pLaRE-YfOG/preview,https://slides.com/yyu/ubicomp2020/embed
49,1123,9 Sensing,Appliance Fingerprinting Using Sound from Power Supply,5 sensing,,,,pdf/site,https://drive.google.com/file/d/1DZl3pfnbXvVssX-Cv-7XA3RiuqSH8-Ty/preview,https://lhl980514.wixsite.com/appliance
